outcome,outcome_label,outcome_unit,pool,pool_label,anomes,actual_value,synth_value,effect_value,actual_index,synth_index,effect_index
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202601,45746.0,44581.755284036844,1164.2447159631556,102.6869289995286,100.07352641818412,2.613402581344488
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202602,46638.0,44812.20613500622,1825.7938649937787,104.6892186132124,100.59082389056144,4.098394722650951
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202603,45565.0,45069.33032159913,495.66967840086727,102.28063480661744,101.16799551415102,1.112639292466426
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202302,42758.0,42675.71823728165,82.28176271834673,95.9797077375474,95.79500827691228,0.1846994606351302
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202303,42664.0,42886.01552459392,-222.0155245939168,95.76870412354936,96.267066656028,-0.4983625324786516
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202304,42951.0,43208.72960869578,-257.72960869577946,96.4129385620328,96.99146918830002,-0.5785306262672094
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202305,43194.0,43232.87100807138,-38.87100807137904,96.9584053514108,97.04565985335556,-0.0872545019447699
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202306,43208.0,43236.55397856438,-28.55397856437776,96.98983142158072,97.05392708829464,-0.0640956667138965
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202307,43314.0,43246.721465549366,67.27853445063374,97.22777166715302,97.0767502425405,0.151021424612523
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202308,43253.0,43387.86005305237,-134.86005305236904,97.09084378998406,97.39356675358005,-0.3027229635959827
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202309,43271.0,43435.26419570044,-164.264195700438,97.1312487373454,97.49997574738026,-0.3687270100348598
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202310,43498.0,43636.8674280437,-138.86742804369717,97.64080001795776,97.9525184135305,-0.3117183955727398
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202311,43471.0,43742.2721220111,-271.272122011098,97.58019259691577,98.18912236416328,-0.6089297672475169
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202312,42733.0,43342.32119310215,-609.3211931021506,95.92358975510112,97.2913447958476,-1.3677550407464878
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202401,43893.0,43599.20557111912,293.7944288808794,98.52746414060924,97.86797811649896,0.6594860241102509
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202402,43820.0,43711.64891026022,108.35108973977913,98.36359963186604,98.12038184978388,0.243217782082155
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202403,43673.0,43974.12671936584,-301.126719365835,98.03362589508184,98.70957085314112,-0.67594495805929
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202404,44163.0,44199.77070380682,-36.77070380681835,99.1335383510292,99.21607825945998,-0.0825399084307747
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202405,43980.0,43933.74178835581,46.25821164419176,98.72275471952231,98.6189180191605,0.1038367003618248
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202406,43973.0,43883.15922044118,89.84077955882094,98.70704168443736,98.50537435282764,0.2016673316097268
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202407,44063.0,43962.4610826931,100.53891730689791,98.90906642124402,98.68338477338013,0.2256816478639081
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202408,44149.0,44144.56510087768,4.434899122315983,99.10211228085927,99.0921571772154,0.0099551036438754
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202409,44302.0,44300.98119663564,1.0188033643644303,99.4455543334306,99.44326740585792,0.0022869275726975
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202410,44549.0,44549.00000000001,-7.275957614183426e-12,100.0,100.0,-1.4210854715202004e-14
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202411,44580.0,44677.52418591748,-97.52418591747846,100.06958629823342,100.28850072036968,-0.2189144221362511
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202412,43796.0,44222.75705880661,-426.75705880660826,98.3097263687176,99.26767617411528,-0.9579498053976748
emprego_estoque,Estoque de vinculos formais,vinculos,rs,Rio Grande do Sul,202501,45331.0,44521.80369742231,809.1963025776931,101.75537049092011,99.93895193477364,1.816418556146488
